league_id,season,roster_id,owner_user_id,owner_display,team_name,wins,losses,ties,fpts,fpts_against,waiver_budget_used,num_players,num_starters,num_bench,num_ir,num_taxi
1180272148495294464,2025,12,459133349898743808,koloj,Chalupa Batman,0,0,0,0,,0,11,9,3,0,2
1180272148495294464,2025,7,792870863715274752,jpbreaks,JPBreaks,0,0,0,0,,0,15,9,11,0,3
1180272148495294464,2025,11,807825671157059584,LouRusso20,JayTopMikeBottom,0,0,0,0,,0,15,9,6,1,5
1180272148495294464,2025,2,736862679649652736,loud1990,Keenan and Kelce,0,0,0,0,,0,16,9,7,0,3
1180272148495294464,2025,5,790083700929957888,bpush20,PushMAndrews,0,0,0,0,,0,16,9,7,0,3
1180272148495294464,2025,6,791534307343724544,sandman2207,Raspberry Racers,0,0,0,0,,0,15,9,6,0,3
1180272148495294464,2025,3,598940115322064896,BroParty,SCLSU Mud Dogs,0,0,0,0,,0,12,9,3,0,2
1180272148495294464,2025,10,807822209459556352,SavageSpeeders,Savage Speeders ,0,0,0,0,,0,15,9,6,0,3
1180272148495294464,2025,9,807009871076671488,nistico60,Slave Bakery,0,0,0,0,,0,20,9,11,2,1
1180272148495294464,2025,4,459476133621002240,EddiePuodz,Stroud Boys,0,0,0,0,,0,23,9,14,3,3
1180272148495294464,2025,8,800266574987628544,Sandorasboxx,The Firefly Fun House,0,0,0,0,,0,12,9,3,0,1
1180272148495294464,2025,1,475765880177815552,RealMikeBradley,West Coast Customs,0,0,0,0,,0,13,9,4,0,2
